Length,Weight,Fec,SC,Year
337,335,40418,Fall,1970s
317,266,68940,Fall,1970s
348,329,113264,Fall,1970s
280,189,106372,Fall,1970s
327,268,58081,Fall,1970s
307,243,55227,Fall,1970s
305,221,46978,Fall,1970s
333,323,66965,Fall,1970s
356,332,92671,Fall,1970s
357,348,138363,Fall,1970s
327,295,100628,Fall,1970s
360,333,76816,Fall,1970s
318,268,66081,Fall,1970s
307,233,54110,Fall,1970s
350,332,66151,Fall,1970s
320,249,72100,Fall,1970s
329,283,68515,Fall,1970s
322,244,50142,Fall,1970s
308,282,85980,Fall,1970s
320,282,68558,Fall,1970s
330,252,73430,Fall,1970s
352,361,78310,Fall,1970s
317,283,49750,Fall,1970s
337,271,62367,Fall,1970s
310,237,64913,Fall,1970s
326,287,74898,Fall,1970s
356,327,68272,Fall,1970s
312,223,65718,Fall,1970s
359,372,60226,Fall,1970s
320,261,74372,Fall,1970s
315,267,55445,Fall,1970s
355,323,46479,Fall,1970s
332,302,27998,Fall,1970s
331,275,95847,Fall,1970s
337,365,99792,Fall,1970s
332,291,61759,Fall,1970s
354,349,73864,Fall,1970s
345,325,81214,Fall,1970s
342,333,81763,Fall,1970s
340,320,60094,Fall,1970s
304,230,27792,Fall,1970s
309,235,80556,Spring,1970s
277,165,50917,Spring,1970s
268,136,62450,Spring,1970s
298,205,22669,Spring,1970s
287,189,49137,Spring,1970s
275,164,35424,Spring,1970s
319,260,38855,Spring,1970s
354,385,165236,Fall,1970s
359,448,121098,Fall,1970s
363,406,180425,Fall,1970s
350,391,168874,Fall,1970s
364,448,216152,Fall,1970s
331,327,166550,Fall,1970s
377,495,196286,Fall,1970s
363,436,210537,Fall,1970s
308,256,138290,Fall,1970s
349,404,289238,Fall,1970s
346,395,171045,Fall,1970s
353,418,156964,Fall,1970s
382,526,112990,Fall,1970s
318,312,102197,Fall,1970s
309,262,141623,Fall,1970s
355,484,188165,Fall,1970s
359,472,108558,Fall,1970s
327,337,177285,Fall,1970s
344,385,200280,Fall,1970s
341,389,148011,Fall,1970s
307,241,59563,Fall,1970s
352,423,187291,Fall,1970s
358,460,149142,Fall,1970s
309,266,104895,Fall,1970s
354,422,110229,Fall,1970s
361,491,248169,Fall,1970s
348,398,200812,Fall,1970s
316,306,141114,Fall,1970s
355,339,129968,Fall,1970s
281,221,184728,Fall,1970s
354,399,245358,Fall,1970s
353,400,214079,Fall,1970s
354,441,154001,Fall,1970s
357,400,200286,Fall,1970s
351,413,172538,Fall,1970s
325,259,82687,Spring,1970s
